agent_id,agency_name,municipality_id,municipality_fullName,membership,membership_current,quota,quota_current,price,trial,accountManager,secondaryAccountManager,entrustments,search_requests,agent_developer,properties,different_level4_areas_of_properties,has_alerts,searches_without_alert,searches_with_alert,specialty_5,specialty_10,specialty_30,value_12m,membership_12m,lvl2_areas_receive_entrustments
12379,ΜΕΣΙΤΙΚΟ ΓΡΑΦΕΙΟ ΣΟΥΣΟΥΡΑΣ,4019,Kassandra (Chalkidiki),Expert Quota,Expert,250,250,1656.0,no,Maria Retsina,Seirina Gkikodima,172,935,agent,181,6,1,0,1,2,2,2,6811,1619,1
12388,aegis akiniton,499115,Center of Thessaloniki (Thessaloniki - Municipality),Brand Plus Quota,Brand Plus,30,30,475.0,no,Nikos Kapiniaris,Thodoris Mistiloglou,812,2166,agent,22,13,0,0,0,1,0,0,1310,478,2
12394,MY HOME,3416,Chalkida (Evia),Brand Quota,Brand,100,100,544.35,no,Nikos Kapiniaris,Ioanna Sampani,243,93,agent,81,9,0,0,0,5,3,1,678,524,1
12400,Vagenas Village,3414,Stira (Evia),Brand,Brand,0,0,0.0,yes,Filitsa Skoura,Filitsa Skoura,0,1,developer,4,1,0,0,0,0,0,0,0,0,0
12402,Georgia-Home,3301,Patra (Achaia),Expert Quota,Expert,210,210,1411.16,no,Theodosis Tsiavos,Marios Dounias,148,893,agent,190,12,0,0,0,4,3,1,2771,1273,1
12412,Spitopolis.gr,3549,Kavala (Kavala Prefecture),Brand Quota,Brand,100,100,496.77,no,Nikos Kapiniaris,Filitsa Skoura,125,95,agent,91,8,0,0,0,3,1,1,1106,484,1
12413,VICTORY Real Estate,499115,Center of Thessaloniki (Thessaloniki - Municipality),Expert Quota,Expert,200,300,1354.55,no,Manos Daskalakis,Giorgos Koutsobinas,677,3583,agent,186,32,1,0,2,10,5,0,4278,1344,1
12427,SkyLevel Estates,6009,Kolonaki - Lykavittos (Athens - Center),Brand Plus Quota,Brand Plus,30,30,475.2,no,Christos Koulikis,Ioanna Sampani,3478,1599,agent,13,10,0,0,0,0,0,0,718,400,10
12431,Ορόσημο,499115,Center of Thessaloniki (Thessaloniki - Municipality),Brand Quota,Brand,30,30,329.84,no,Theodosis Tsiavos,Anastasia Kyprioti,1143,301,agent,7,3,0,0,0,1,0,0,330,330,3
12432,House City Real Estate Μοσχέτας Θάνος &amp; Συνεργ,3521,Ioannina (Ioannina Prefecture),Brand Plus Quota,Brand Plus,30,30,528.23,no,Nikos Kapiniaris,Vassia Roga,254,396,agent,30,7,0,0,0,2,1,0,1191,528,5
12474,REAL HOMES,6002,Ampelokipoi - Pentagon (Athens),Expert Quota,Expert,670,670,3020.97,no,Sofi Tosouni,Giorgos Koutsobinas,3804,8225,agent,412,105,1,0,65,31,11,0,2896,2896,10
12479,ΑΤΛΑΣ ΙΝΒΕΣΤΜΕΝΤΣ Μ.Ι.ΚΕ.,2111,Marousi (Athens - North),Brand Quota,Brand,30,30,330.0,no,Sofi Tosouni,Ioanna Sampani,1507,493,agent,10,9,0,0,0,0,0,0,318,318,3
12480,SOUTH GREECE REAL ESTATE,3715,Sparti (Lakonia),Brand Plus Quota,Brand Plus,70,70,845.16,no,Nikos Michail,Ioanna Katsou,76,402,agent,59,20,0,0,0,4,2,0,908,636,1
12482,REALE,124274,Corfu (Corfu Prefecture),Brand Plus Quota,Brand Plus,100,100,870.97,no,Eirini Tsigonia,Giorgos Koutsobinas,82,162,agent,37,1,0,0,0,1,1,1,969,819,1
12491,IDEAL PROPERTIES,2905,Thermaikos (Thessaloniki - Suburbs),Brand Plus Quota,Brand Plus,200,200,1048.39,no,Eirini Tsigonia,Seirina Gkikodima,1382,2147,agent,187,25,0,0,0,5,4,1,1965,1013,2
12500,ONASIS HOME REAL ESTATE IKE,499117,Vardaris - Lahanokipi (Thessaloniki - Municipality),Expert Quota,Expert,100,100,1252.0,no,Sofi Tosouni,Konstantinos Koutsoupas,1890,2532,agent,54,27,1,0,5,1,1,0,3093,1260,5
12501,Open 24 estate,499115,Center of Thessaloniki (Thessaloniki - Municipality),Expert Quota,Expert,150,300,1368.71,no,Maria Retsina,Stellina Sakkali,972,2416,agent,170,13,1,0,9,8,7,1,2414,1354,3
12504,Olympia Properties Real Estate,6009,Kolonaki - Lykavittos (Athens - Center),Expert Quota,Expert,1000,1000,3662.9,no,Sofi Tosouni,Marios Dounias,4692,9906,agent,641,116,1,0,10,27,17,5,6348,3682,16
12512,ΗΛΙΑΔΗΣ ΓΙΩΡΓΟΣ &amp; ΣΥΝΕΡΓΑΤΕΣ,3961,Trikala (Trikala Prefecture),Brand Plus Quota,Brand Plus,350,350,1280.64,no,Theodosis Tsiavos,Giorgos Koutsobinas,2099,5148,agent,316,64,0,0,0,7,4,2,1461,1244,8
12524,ΚΥΣΟ,2111,Marousi (Athens - North),Developer Quota,Brand,3,0,411.67,no,Manos Daskalakis,Ioanna Sampani,4,7,developer,3,2,0,0,0,0,0,0,109,109,2
12527,MEGA HOUSE REAL ESTATE,2033,Neos Kosmos (Athens),Brand Plus Quota,Brand Plus,200,200,1075.32,no,Maria Retsina,Ioanna Katsou,5183,5209,agent,157,45,0,0,0,9,4,0,4746,1142,19
12529,Thraki Μεσιτικό,3378,Alexandroupoli (Evros),Brand Quota,Brand,150,150,503.0,no,Nikos Kapiniaris,Thodoris Mistiloglou,45,81,agent,134,10,0,0,0,2,2,1,705,469,1
12542,Best Plus,2208,Glyfada (Athens - South),Expert Quota,Expert,1000,1000,4070.0,no,Marilena Gkikopoulou,Konstantinos Koutsoupas,1534,8479,agent,971,88,1,0,34,32,18,7,7305,3986,3
12546,Elegant Blue,2099,Kentro (Athens),Brand Plus Quota,Brand Plus,200,200,1166.0,no,Stathis Koutmeridis,Giorgos Koutsobinas,1864,4951,agent,166,69,0,0,0,9,1,0,1818,1065,4
12550,RE/MAX PRIME,3685,Paros (Cyclades),Expert Quota,Expert,80,80,1048.0,no,Theodosis Tsiavos,Ioanna Sampani,310,60,agent,65,2,1,0,7,1,1,1,5441,1200,1
12552,Myro Real Estate,499115,Center of Thessaloniki (Thessaloniki - Municipality),Brand Plus Quota,Brand Plus,100,100,948.39,no,Stathis Koutmeridis,Filitsa Skoura,1867,3393,agent,99,40,0,0,0,4,2,0,785,785,4
12585,REMAX HABITAT,6002,Ampelokipoi - Pentagon (Athens),Brand Quota,Brand,150,150,615.32,no,Marilena Gkikopoulou,Marios Dounias,3199,743,agent,64,30,0,0,0,3,0,0,606,606,11
12588,ΚΑΤΟΙΚΕΙΝ,2606,Keratsini (Piraeus suburbs),Brand Plus,Brand Plus,50,50,330.0,no,Foteini Koutsogianni,Ioanna Katsou,3017,298,agent,21,10,0,0,0,1,0,0,302,302,11
12591,Hive Real Estate,6007,Exarchia - Neapoli (Athens),Expert Quota,Expert,1100,1100,4972.58,no,Nikos Michail,Marios Dounias,3990,10398,agent,909,128,1,0,74,51,30,6,5009,4555,11
12600,Προοπτική,2203,Vari - Varkiza (Athens - South),Expert Quota,Expert,70,70,1242.0,no,Sofi Tosouni,Anastasia Kyprioti,0,1050,agent,60,7,1,0,2,2,1,1,2061,1137,0
12607,ΑΝΑΤΟΛΙΑ Ζ &amp; Δ,2111,Marousi (Athens - North),Expert Quota,Expert,100,120,1058.0,no,Vassiliki Stamouli,Filitsa Skoura,1444,4116,agent,88,42,1,0,73,6,0,0,1924,1051,5
12613,RETHINK ΜΕΠΕ,2116,Papagou (Athens - North),Brand Quota,Brand Plus,30,30,330.16,no,Theodosis Tsiavos,Seirina Gkikodima,206,27,agent,2,2,0,0,0,0,0,0,868,381,2
12647,DNK CAPITAL,124230,Lefkada (Lefkada Prefecture),Expert Quota,Expert,30,30,742.5,no,Marilena Gkikopoulou,Giorgos Koutsobinas,55,46,agent,29,2,1,0,2,1,1,0,1102,714,1
12666,VILLA in GR,499115,Center of Thessaloniki (Thessaloniki - Municipality),Expert Quota,Expert,700,700,3157.0,no,Sofi Tosouni,Konstantinos Koutsoupas,1512,4769,agent,610,47,1,0,18,27,18,7,7437,2771,3
12674,RE/MAX Welcome,499120,Triandria - Doxa (Thessaloniki - Municipality),Expert Quota,Expert,220,220,1673.0,no,Sofi Tosouni,Ioanna Sampani,679,3613,agent,203,33,1,0,11,13,7,0,2835,1525,2
12689,Raffaello Development,2208,Glyfada (Athens - South),Expert Quota,Expert,30,30,742.5,no,Eirini Tsigonia,Filitsa Skoura,5058,1557,agent,29,23,1,0,19,0,0,0,794,720,24
12696,RE/MAX Direct,3496,Igoumenitsa (Thesprotia),Brand Quota,Brand,50,50,434.8,no,Foteini Koutsogianni,Seirina Gkikodima,52,80,agent,47,10,0,0,0,2,2,0,1278,476,3
12701,Επιλογή,2211,Zografou (Athens - South),Brand Plus Quota,Brand Plus,30,30,505.0,no,Theodosis Tsiavos,Giorgos Koutsobinas,3221,2672,agent,7,3,0,0,0,0,0,0,397,181,8
12705,MAGDALINOS REAL ESTATE,499115,Center of Thessaloniki (Thessaloniki - Municipality),Brand Plus Quota,Brand Plus,70,70,845.0,no,Vassiliki Stamouli,Stellina Sakkali,1868,2523,agent,59,19,0,0,0,3,1,0,932,705,4
12718,MV Properties,3612,Ithaki (Kefallinia Prefecture),Brand Plus Quota,Brand Plus,40,40,494.35,no,Eirini Tsigonia,Filitsa Skoura,1,33,agent,40,2,0,0,0,1,1,1,494,494,1
