"lvl4_id","lvl4_name","lvl2_id","lvl2_name","lvl1_id","lvl1_name"
3497,Margariti,166,Thesprotia,105055,Ipiros
3498,Paramithia,166,Thesprotia,105055,Ipiros
3499,Parapotamos,166,Thesprotia,105055,Ipiros
3500,Perdika,166,Thesprotia,105055,Ipiros
3501,Sagiada,166,Thesprotia,105055,Ipiros
3503,Sivota,166,Thesprotia,105055,Ipiros
3504,Filiates,166,Thesprotia,105055,Ipiros
3505,Agios Dimitrios,167,Ioannina Prefecture,105055,Ipiros
3506,Aetomilitsa,167,Ioannina Prefecture,105055,Ipiros
3507,Anatoli,167,Ioannina Prefecture,105055,Ipiros
3508,East Zagori,167,Ioannina Prefecture,105055,Ipiros
3509,Ano Kalamas,167,Ioannina Prefecture,105055,Ipiros
3510,Ano Pagoni,167,Ioannina Prefecture,105055,Ipiros
3511,Vathipedo,167,Ioannina Prefecture,105055,Ipiros
3512,Vovousa,167,Ioannina Prefecture,105055,Ipiros
3513,Delvinaki,167,Ioannina Prefecture,105055,Ipiros
3514,Derviziana,167,Ioannina Prefecture,105055,Ipiros
3515,Distrato,167,Ioannina Prefecture,105055,Ipiros
3516,Dodoni,167,Ioannina Prefecture,105055,Ipiros
3517,Egnatias,167,Ioannina Prefecture,105055,Ipiros
3518,Ekali,167,Ioannina Prefecture,105055,Ipiros
3519,Evrimenoi,167,Ioannina Prefecture,105055,Ipiros
3520,Zitsa,167,Ioannina Prefecture,105055,Ipiros
